date,symbol,side,order_place_time,order_type,order_price,fill_time,entry_price,ref_low_24h,ref_high_24h,ref_mid_24h,stop,take_profit,exit_time,exit_price,exit_reason,pnl,equity_after
2025-03-24,XAUUSD,LONG,2025-03-24 04:30:00+00:00,MARKET,3017.815,2025-03-24 04:30:00+00:00,3017.815,3013.475,3026.045,3019.76,3013.475,3030.8350000000005,2025-03-24 09:10:00+00:00,3030.8350000000005,TP,13.020000000000437,168.0155000000018
2025-03-25,XAUUSD,SHORT,2025-03-25 04:30:00+00:00,LIMIT,3017.6400000000003,2025-03-25 05:10:00+00:00,3017.6400000000003,3002.145,3033.135,3017.6400000000003,3033.135,2971.1550000000007,2025-03-25 14:00:00+00:00,3033.135,STOP,-15.49499999999989,152.5205000000019
2025-03-26,XAUUSD,SHORT,2025-03-26 04:30:00+00:00,LIMIT,3023.0615,2025-03-26 05:55:00+00:00,3023.0615,3010.218,3035.905,3023.0615,3035.905,2984.5309999999986,2025-03-26 16:00:00+00:00,3016.805,FORCE_EXIT,6.25649999999996,158.77700000000186
2025-03-27,XAUUSD,SHORT,2025-03-27 04:30:00+00:00,MARKET,3036.975,2025-03-27 04:30:00+00:00,3036.975,3012.125,3037.325,3024.725,3037.325,3035.925,2025-03-27 04:30:00+00:00,3037.325,STOP,-0.34999999999990905,158.42700000000195
2025-03-28,XAUUSD,SHORT,2025-03-28 04:30:00+00:00,MARKET,3073.725,2025-03-28 04:30:00+00:00,3073.725,3026.535,3077.365,3051.95,3077.365,3062.8050000000003,2025-03-28 05:30:00+00:00,3077.365,STOP,-3.6399999999998727,154.78700000000208
2025-03-31,XAUUSD,SHORT,2025-03-31 04:30:00+01:00,MARKET,3107.848,2025-03-31 04:30:00+01:00,3107.848,3076.485,3111.575,3094.0299999999997,3111.575,3096.6670000000004,2025-03-31 05:30:00+01:00,3111.575,STOP,-3.7269999999998618,151.06000000000222
2025-04-01,XAUUSD,SHORT,2025-04-01 04:30:00+01:00,MARKET,3144.665,2025-04-01 04:30:00+01:00,3144.665,3099.685,3145.435,3122.56,3145.435,3142.355,2025-04-01 04:35:00+01:00,3145.435,STOP,-0.7699999999999818,150.29000000000224
2025-04-02,XAUUSD,LONG,2025-04-02 04:30:00+01:00,LIMIT,3124.75,2025-04-02 04:55:00+01:00,3124.75,3100.665,3148.835,3124.75,3100.665,3197.005,2025-04-02 16:00:00+01:00,3127.275,FORCE_EXIT,2.525000000000091,152.81500000000233
2025-04-03,XAUUSD,LONG,2025-04-03 04:30:00+01:00,LIMIT,3135.8615,2025-04-03 06:10:00+01:00,3135.8615,3104.175,3167.548,3135.8615,3104.175,3230.9209999999994,2025-04-03 11:30:00+01:00,3104.175,STOP,-31.686499999999796,121.12850000000253
2025-04-04,XAUUSD,LONG,2025-04-04 04:30:00+01:00,MARKET,3093.175,2025-04-04 04:30:00+01:00,3093.175,3053.935,3150.045,3101.99,3053.935,3210.895000000001,2025-04-04 15:00:00+01:00,3053.935,STOP,-39.24000000000024,81.8885000000023
